SONG_TITLE,ARTIST_NAME,USER_ID_NEW
International Love Song,검정치마,ik7laHFZ
Love Shine,검정치마,ik7laHFZ
BREATHE,AB6IX (에이비식스),ik7laHFZ
Be Kind,Marshmello,ik7laHFZ
Be Kind,Halsey,ik7laHFZ
I'm Not Sorry (Feat. Eric Bellinger),DEAN,joLqkaI0
My Only Wish (This Year),Britney Spears,SZseHvGb
Last Christmas,WHAM!,SZseHvGb
Palace,Sam Smith,ik7laHFZ
사랑인가 봐,멜로망스,8islYbZp
Sad Rain (Feat. Aden),Sad Diminish,bH6EgYJb
We Don't Talk Anymore (Feat. Selena Gomez),Charlie Puth,LQgmhn48
라라라,이수영,ik7laHFZ
Cookie,NewJeans,ik7laHFZ
Blue,Hoody (후디),2tKDaKfl
RPG,SEKAI NO OWARI,8islYbZp
지나오다,닐로(Nilo),8islYbZp
Goodbye,박효신,8islYbZp
비밀번호 486,윤하 (YOUNHA),wmisoLoE
여인의 향기,김종국,wmisoLoE
I Cry When You Cry,라디 (Ra. D),0qncwQCa
꽃 길,BIGBANG,j2Zl5dn6
좋은 날,IU (아이유),ik7laHFZ
있어줘 (Feat. 김니트)(Prod. mnsx),Mabinc,gM8TTejW
summer,keshi,ik7laHFZ
밤하늘의 별을(2020),경서,ik7laHFZ
All I Want For Christmas Is You,Mariah Carey,SZseHvGb
미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),IU (아이유),SZseHvGb
꿈에본 내고향,남진,r9YI6iAn
호반에서 만난 사람,정훈희,r9YI6iAn
상하차,호미들,fvxlfPdc
Underneath The Tree,Kelly Clarkson,SZseHvGb
Santa Tell Me,Ariana Grande,SZseHvGb
예쁜 게 죄,에이프릴 (APRIL),ik7laHFZ
아주 NICE,세븐틴,ik7laHFZ
시간을 달려서 (Rough),여자친구 (GFRIEND),ik7laHFZ
덤디덤디 (DUMDi DUMDi),(G)I-dle ((여자)아이들),ik7laHFZ
"니가 떠나고, 열한번째 비",느긋,08XxwFym
오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND),6cRYhDps
WAKE ME UP,B.A.P,6cRYhDps
Forever Young,BLACKPINK,6cRYhDps
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),BTS,6cRYhDps
Destiny (나의 지구),러블리즈,6cRYhDps
Thank U Very Much,베스티,6cRYhDps
칵테일 사랑,여자친구 (GFRIEND),6cRYhDps
끼부리지마,WINNER,6cRYhDps
꿈이야 생시야,"트리플 H (현아, 펜타곤 (후이, 이던))",6cRYhDps
We Got The Power,소녀주의보,6cRYhDps
LOCO,ITZY (있지),6cRYhDps
I Got A Boy,GIRLS' GENERATION (소녀시대),6cRYhDps
Summer Holiday,아이비,6cRYhDps
SMILEY (Feat. BIBI),YENA (최예나),6cRYhDps
왠지 (Somehow),DIA (다이아),6cRYhDps
내꺼하자,인피니트,6cRYhDps
그녀와의 이별,김현정,6cRYhDps
Rain Drop,IU (아이유),3PP7VqN1
Blanche,데이먼스 이어 (DAMONS YEAR),4c7gmHFf
Candy Boy,TWICE (트와이스),ik7laHFZ
BEST FRIEND,덩크 (DUNK),SvSr3Y4L
전화할게,스무살,RJewZfz6
첫사랑,백아,RJewZfz6
이상한 사람,존박,RJewZfz6
문제아 (Feat. 스텔라장),긱스 (Geeks),RJewZfz6
알듯 말듯해,서은광 (비투비),KMJWnDJs
알듯 말듯해,임현식 (비투비),KMJWnDJs
알듯 말듯해,육성재 (비투비),KMJWnDJs
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),KMJWnDJs
Ice Cream (with Selena Gomez),BLACKPINK,bu3The0w
다시 사랑할 수 있을 것처럼,김민석 (멜로망스),ik7laHFZ
응급실,izi,ik7laHFZ
도깨비불 (Illusion),aespa,P6Ff7Vkk
Love story,볼빨간사춘기,P6Ff7Vkk
POP!,나연,P6Ff7Vkk
너나 해 (Egotistic),마마무 (Mamamoo),ik7laHFZ
딱 좋아 (Just right),GOT7 (갓세븐),ik7laHFZ
ELEVEN,IVE (아이브),ik7laHFZ
5시 53분의 하늘에서 발견한 너와 나,투모로우바이투게더,ik7laHFZ
BET BET,뉴이스트,ik7laHFZ
Segno,뉴이스트,ik7laHFZ
MAMA,EXO-K,ik7laHFZ
잘가요,정재욱,ik7laHFZ
오랜만이야,임창정,ik7laHFZ
사랑 ing,은하 (여자친구),ik7laHFZ
궁금해,육성재 (비투비),ik7laHFZ
궁금해,승희 (CLC),ik7laHFZ
LADY,솔희 (SOHLHEE),ik7laHFZ
뭐니 (Feat. OLNL),JAMIE (제이미),eE333unE
아프게 잊혀지지 않게 (Fermata),쏠라티,eE333unE
Blue,Ashmute (애쉬뮤트),eE333unE
Suitelady (The Proposal Jam) (Unsung),Maxwell,eE333unE
Could've Been (Feat. Bryson Tiller),H.E.R.,eE333unE
Crush,유지희,eE333unE
마지막 편지,조영남,wr7C6yVy
처음이니까,오왠 (O.WHEN),LjVT30k6
"왜 그랬을까 (Feat. 달총 Of CHEEZE, 김민석 Of 멜로망스)",빌리어코스티,0SERIP2a
벗,닐로(Nilo),LjVT30k6
Save Your Tears,The Weeknd,LjVT30k6
나 같은 남자 (Feat. 윤미래[T]),바비 킴,LjVT30k6
나는 나를 미워해요,타루,akFKaUyW
그때 그 아이들은,AKMU (악동뮤지션),akFKaUyW
Traitor,Daughtry,B10tGU5S
Way To Go (Feat. 정민영),Tozane,B10tGU5S
I (Feat. 버벌진트),태연 (TAEYEON),sUvuONYT
Love Shot,EXO,sUvuONYT
DNA,BTS,sUvuONYT
Sorry,AOA,sUvuONYT
뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,sUvuONYT
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),BTS,sUvuONYT
Undefeatable,Parade Of Lights,B10tGU5S
궁금해,밀크티,akFKaUyW
사랑인 듯 아닌 듯,백아연,akFKaUyW
Fall In Love,오왠 (O.WHEN),akFKaUyW
그 중에 그대를 만나,이선희,akFKaUyW
금요일에 만나요 (Feat. 장이정 Of HISTORY),IU (아이유),akFKaUyW
그리워 그리워,노을,akFKaUyW
프리지아,볼빨간사춘기,akFKaUyW
그대라는 사치,한동근,akFKaUyW
바람이 불었으면 좋겠어,길구봉구,akFKaUyW
부끄럼,멜로망스,akFKaUyW
끝사랑,김범수,akFKaUyW
펑펑,알리 (ALi),akFKaUyW
Weep,Lusrica,WFuhbXDO
Talk,Khalid,Rq22dInm
Talk,Disclosure,Rq22dInm
Stayin’ Alive (Serban Mix),Bee Gees,7J4wRLAx
오늘 취하면 (Feat. 창모) (Prod. SUGA),SURAN (수란),t9ghh7aY
Foolish,Samaria,t9ghh7aY
Friend (With. 김꽃),나비,qYlVNFnH
No Make Up,Zion.T,1FgYvJjE
이별의 그늘 (원곡가수 윤상),정인,1FgYvJjE
알러뷰,EXID,eKo7bX8c
I'm Gone (Feat. Blaq Tuxedo),Lele,eKo7bX8c
"검정색하트 (Feat. Leellamarz, BE'O)",TOIL,t9ghh7aY
그리워 그리워하다,포스트맨 (Postmen),55a8V4J6
크리스마스에는 축복을,제이독 (J-DOGG),SZseHvGb
괜찮다,윤하 (YOUNHA),qXyoPoth
서로의 서로,신용재 (2F),qXyoPoth
서로의 서로,벤,qXyoPoth
내사랑 내곁에,다비치,qXyoPoth
사랑에 연습이 있었다면 (Prod. 2soo),임재현,qXyoPoth
Be There,CHEEZE (치즈),qXyoPoth
Teenage Superstar,조민혜,qXyoPoth
약속,김광진,R9GIcMhu
I Miss You So Much,TLC,qYlVNFnH
P.D.A. (We Just Don't Care),John Legend,qYlVNFnH
괴수의 노래,박아셀,qYlVNFnH
"하하ha 라랄la (Feat. Gray City, 태동)",Henmi,qYlVNFnH
사랑한다 안한다 (Feat. 플레이모드),동경소녀,qYlVNFnH
Belly Queen,Sara Pi,qYlVNFnH
Friends,E^st,Rq22dInm
Flux,Ellie Goulding,Rq22dInm
다른 시작,소란 (SORAN),qYlVNFnH
사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,diSdBMG1
The Only Way Is Up,Martin Garrix,Kn7qIl9v
The Only Way Is Up,Tiesto,Kn7qIl9v
The Line,RAYE,ByhfuAXT
뜨거운 여름밤은 가고 남은건 볼품 없지만,잔나비,R9GIcMhu
봄이 와 (Feat. 롤러코스터),김현철,ByhfuAXT
가끔씩 (우지윤의 보컬 스틸),볼빨간사춘기,R9GIcMhu
Replay,김동률,xZPG6Abf
흩어진 나날들,박효신,Kn7qIl9v
보통 여자,조용희,pSvsg7DI
Harlem Desire (영화 '더 킹' 삽입곡),London Boys,xZPG6Abf
Havana (Remix),Camila Cabello,Kn7qIl9v
Havana (Remix),Daddy Yankee,Kn7qIl9v
Indigo,88rising,Kn7qIl9v
Indigo,NIKI,Kn7qIl9v
Best Part (Feat. H.E.R.),Daniel Caesar,Kn7qIl9v
연예인,PSY (싸이),xZPG6Abf
눈부신 눈물,디셈버,R9GIcMhu
그리워하다,비투비,SZseHvGb
자전거 탈래? (With 경모 of 슬로디 Slou.D),새봄 (saevom),SZseHvGb
이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),SZseHvGb
Shivers,Ed Sheeran,s1XJSJmp
새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),s1XJSJmp
Stuck On You,Meiko,t2vFmwQb
Background Radio,Lily Frost,t2vFmwQb
Hideaway,Kiesza,t2vFmwQb
Alien Like You,The Pigott Brothers,t2vFmwQb
White Houses,Vanessa Carlton,t2vFmwQb
Think Twice,Groove Armada,t2vFmwQb
Youth,Daughter,t2vFmwQb
Playing For Keeps,Elle King,t2vFmwQb
Cold Front,Laura Welsh,t2vFmwQb
Who Am I,Lily Frost,t2vFmwQb
Your Song,Ellie Goulding,t2vFmwQb
Riverside,Agnes Obel,t2vFmwQb
Crazy Love,Mindy Gledhill,t2vFmwQb
My Heart Goes Boom,Miss Li,t2vFmwQb
What A Wonderful World,Louis Armstrong,t2vFmwQb
Looking Too Closely,Fink,t2vFmwQb
Wild,Royal Teeth,t2vFmwQb
I Will Be There,Odessa,t2vFmwQb
Saturday Smile,Gin Wigmore,t2vFmwQb
To Be Free,Emiliana Torrini,t2vFmwQb
Hey Na Na,Katie Herzig,t2vFmwQb
Pharaohs,SBTRKT,t2vFmwQb
Perfect,Maren Ord,t2vFmwQb
A Cup Of Coffee,Julian Moon,t2vFmwQb
Into The Wild,The Gossip,t2vFmwQb
니 소식,송하예,t2vFmwQb
비가 내리는 날에는,윤하 (YOUNHA),t2vFmwQb
난(亂),옥주현,t2vFmwQb
그대 돌아오면..,거미,t2vFmwQb
문,크래커 (CRACKER),t2vFmwQb
그때가 좋았어,케이시 (Kassy),t2vFmwQb
사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),t2vFmwQb
내 안부,이우,t2vFmwQb
한강에서,이시은,t2vFmwQb
술 한잔 해요,지아,t2vFmwQb
오늘은 어땠나요 (feat. 블러셔(Blusher)),페퍼민트 (peppermint),t2vFmwQb
언제쯤 보일까,양다일,t2vFmwQb
비가 오잖아,소유 (SOYOU),t2vFmwQb
비가 오잖아,오반 (OVAN),t2vFmwQb
나는 볼 수 없던 이야기,잔나비,t2vFmwQb
다시 만나자,가비엔제이,t2vFmwQb
난 가끔 너에게 상처를 주고 싶어 (With 문빛),새봄 (saevom),t2vFmwQb
Take Me To Church,Hozier,B10tGU5S
Adore You,Harry Styles,B10tGU5S
What We Had (Feat. Aviella & YNGBLOOD),Gill Chang,B10tGU5S
Tequila,Dan + Shay,B10tGU5S
BYE (Chinese Ver.),태연 (TAEYEON),0SERIP2a
Brown City,투개월,0SERIP2a
몰래 빛나는 (Feat. 플레이모드),노티스노트 (Notice Note),0SERIP2a
자갈치 아지매,이혜리,JGfpVwff
사랑을 말해요,Sondia,0SERIP2a
좋아 (JOAH),10CM,0SERIP2a
FOOLS,Troye Sivan,CHnZgZqL
Error (Feat. Loopy),ASH ISLAND,CHnZgZqL
"Can I Love ? (Feat. 유라(youra), Meego)",Cosmic Boy,CHnZgZqL
12:45 (Stripped),Etham,CHnZgZqL
Koko,이강승,CHnZgZqL
생각하면,송석준 (Once A Day),0SERIP2a
봄 사랑 벚꽃 말고,HIGH4 (하이포),0SERIP2a
봄 사랑 벚꽃 말고,IU (아이유),0SERIP2a
정블리,메리스윗카페,0SERIP2a
Slow Dance,에디킴,0SERIP2a
오늘따라 예쁘다,윤딴딴,0SERIP2a
오늘따라 예쁘다,은하 (여자친구),0SERIP2a
Take Over Control (Radio Edit) (Feat. Eva Simons),Afrojack,0SERIP2a
Black Orchid,Tony Lionni,0SERIP2a
보고싶어,봉구,0SERIP2a
별을 찾는 아이 (Feat. 김광진),IU (아이유),0SERIP2a
Deep Breath (TSH CM),일레인,0SERIP2a
같이 걸을까 (캡틴 코리아),박재정,0SERIP2a
그날까지 안녕,지아,0SERIP2a
스티커,안예은,0SERIP2a
저 별이 너였으면,공기남녀,0SERIP2a
나를 살게하는 사랑,금잔디,0SERIP2a
모르나봐,소유 (SOYOU),0SERIP2a
모르나봐,브라더수,0SERIP2a
그럴 꺼야,박혜경,0SERIP2a
흔한 노래,임창정,0SERIP2a
그러는 그대는,IU (아이유),0SERIP2a
어제 너는 나를 버렸어,10CM,0SERIP2a
바래진 기억에,박지윤,0SERIP2a
"Homemade Dynamite (REMIX) (Feat. Khalid, Post Malone & SZA)",Lorde,0SERIP2a
Watermelon Sugar,Harry Styles,7J4wRLAx
짧은 치마 (Miniskirt),AOA,SZseHvGb
You o'clock,제아,SZseHvGb
Snapping,청하,SZseHvGb
ICY,ITZY (있지),SZseHvGb
Windy,유진,a040HWax
HARD TOUCH freestyle,Kid Milli,QRBDGbul
참 좋은날 당신을 만났습니다,리틀로맨스,msUKZJ4o
The Suburbs,Mr. Little Jeans,B10tGU5S
All The Time,The Kooks,B10tGU5S
SHINe (Medusa Ⅰ),SHINee (샤이니),PSXkduFf
Favorite (Vampire),NCT 127,CHnZgZqL
Happier (Cazzette Remix),Ed Sheeran,7J4wRLAx
That's Hilarious,Charlie Puth,7J4wRLAx
푸른 밤,둘기,0SERIP2a
사랑가,SHUYA,0SERIP2a
Find My Way,Voost,B10tGU5S
Man On The Moon,Powers,B10tGU5S
Sit Next to Me (Radio Edit),Foster The People,B10tGU5S
If You Come To Me,Atomic Kitten,B10tGU5S
